,IDENTIFIER,PLUS,MINUS,MULTIPLY,PERIOD,SEMICOLON,DIVIDE,LESS,EQUAL,LEFTPARENT,RIGHTPARENT,LEFTBRACKET,RIGHTBRACKET,COLON,NUMBER,IF,THEN,ELSE,NOT,OR,AND,PRINT,program,BEGIN,END,RETURN,BOOLEAN,FUNCTION,EOF
<PROGRAM>,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,<IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,,,,,,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD
<DEFINITIONS>,,,,,,,,,,,,,,,,,,,,,,,,<DEF> <DEFINITIONS>,,,,,ε
<DEF>,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,,,,,,,,,,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,
<FORMALS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<NONEMPTYFORMALS>,,,,,,,,,,,<STATEMENTLIST>,,,,,,,,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALSREST>
<FORMAL>,<NONEMPTYFORMALS>,,,,,,,,,,,,,<NONEMPTYFORMALS>,,,,,,,,,,,,,,,ε 
<NONEMPTYFORMALSREST>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALSREST>
<BODY>,,,,,,,,,,,,,,,,,,,,,,,,BEGIN <STATEMENTLIST> END,BEGIN <STATEMENTLIST> END,,,,
<STATEMENTLIST>,,,,,,,,,,,,,,,,,,,,,,,,,,RETURN <EXPR>,,,
<TYPE>,,,,,,,,,,,,,,,NUMBER ,,,,,,,,,,,,BOOLEAN,,
