,identifier,PLUS,MINUS,MULTIPLY,PERIOD,SEMICOLON,DIVIDE,LESS,EQUAL,LEFTPARENT,RIGHTPARENT,LEFTBRACKET,RIGHTBRACKET,COLON,NUMBER,if,then,else,not,or,and,print,program,begin,end,return,boolean,function,$
<PROGRAM>,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD,,,,<IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD,,,,,,,,,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD,,,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON<DEFINITIONS><BODY> PERIOD
<DEFINITIONS>,,,,,,,,,,,,,,,,,,,,,,,,<DEF> <DEFINITIONS>,,,,,ε
<DEF>,function <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE><BODY> SEMICOLON,,,,,function <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE><BODY> SEMICOLON,,,,function <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE><BODY> SEMICOLON,function <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE><BODY> SEMICOLON,,,function <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE><BODY> SEMICOLON,,,,,,,,,,,,,,function <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE><BODY> SEMICOLON,
<FORMALS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<NONEMPTYFORMALS>,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALS-REST>,,,,,,,,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALS-REST>
<FORMAL>,<NONEMPTYFORMALS>,,,,,,,,,,,,,<NONEMPTYFORMALS>,,,,,,,,,,,,,,,ε 
<NONEMPTYFORMALS-REST>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALS-REST>
<BODY>,,,,,,,,,,,,,,,,,,,,,,,,begin <STATEMENT-LIST> end,begin <STATEMENT-LIST> end,,,,
<STATEMENT-LIST>,,,,,,,,,,,,,,,,,,,,,,,,,,return <EXPR>,,,
<TYPE>,,,,,,,,,,,,,,,NUMBER ,,,,,,,,,,,,boolean,,
